k,p,member,base,difference,additive,multiplicative,exponential_E1,exponential_E2,K_pure,K_royal_addition,K_royal_flat
67,294311,294311,285289,9022,285289 + 5659 + 3259 + 101 + 3,285289 + (3469*2) + (199*7) + (193*3) + (19*5) + 17,285289 + (19^3) + (17^2) + (199*7) + (13*5) + 197 + 107 + 101 + 11,285289 + (2^13) + (7^3) + (19*17) + (11*5) + 109,4,4,4
67,294311,294313,294311,2,294311 + 2,,,,,,
67,294311,294317,294311,6,294311 + (2*3),,,,,,
67,294311,294319,294317,2,294317 + 2,,,,,,
68,295871,295871,294319,1552,294319 + 1489 + 19 + 17 + 13 + 7 + 5 + 2,294319 + (199*7) + (19*5) + (17*3) + 13,294319 + (19^2) + (7^3) + (109*5) + (17*11) + 103 + 13,294319 + (11^3) + (13^2) + (7*5) + 17,8,5,4
68,295871,295873,295871,2,295871 + 2,,,,,,
68,295871,295877,295871,6,295871 + (2*3),,,,,,
68,295871,295879,295877,2,295877 + 2,,,,,,
69,299471,299471,295879,3592,295879 + 3469 + 109 + 7 + 5 + 2,295879 + (1489*2) + (199*3) + 17,295879 + (19^2) + (13^3) + (109*7) + (11*5) + 199 + 17,295879 + (13^3) + (19^2) + (109*7) + (11*5) + 199 + 17,4,3,3
69,299471,299473,299471,2,299471 + 2,,,,,,
69,299471,299477,299471,6,299471 + (2*3),,,,,,
69,299471,299479,299477,2,299477 + 2,,,,,,
70,300491,300491,299479,1012,299479 + 829 + 109 + 19 + 17 + (5*7) + 3,299479 + (199*5) + (7*2) + 3,299479 + (19^2) + (7^3) + (17*11) + 103 + 13 + 5,299479 + (19^2) + (7^3) + (17*11) + 103 + 13 + 5,2,2,2
70,300491,300493,300491,2,300491 + 2,,,,,,
70,300491,300497,300491,6,300491 + (2*3),,,,,,
70,300491,300499,300497,2,300497 + 2,,,,,,
71,301991,301991,300499,1492,300499 + 1489 + 3,300499 + (199*7) + (19*3) + (13*2) + 11 + 5,300499 + (19^2) + (7^3) + (107*5) + 109 + 103 + 17 + 13 + 11,300499 + (11^3) + (7^2) + (19*5) + 17,2,2,2
71,301991,301993,301991,2,301991 + 2,,,,,,
71,301991,301997,301991,6,301991 + (2*3),,,,,,
71,301991,301999,301997,2,301997 + 2,,,,,,
72,326141,326141,301999,24142,301999 + 22279 + 1489 + 199 + 109 + 19 + 17 + 13 + 7 + 5 + 3 + 2,301999 + (9439*2) + (1489*3) + (109*5) + (17*7) + 103 + 19 + 11,301999 + (109^2) + (19^3) + (829*5) + (107*7) + 199 + 197 + 101 + 11,301999 + (7^5) + (19^3) + (13^2) + 193 + 103 + 11,2,2,2
72,326141,326143,326141,2,326141 + 2,,,,,,
72,326141,326147,326141,6,326141 + (2*3),,,,,,
72,326141,326149,326147,2,326147 + 2,,,,,,
73,334421,334421,326149,8272,326149 + 5659 + 2089 + 199 + 197 + 109 + 19,326149 + (3469*2) + (199*5) + (107*3) + 11 + 7,326149 + (19^3) + (17^2) + (199*5) + 109 + 13 + 7,326149 + (2^13) + (19*3) + 11 + 7 + 5,6,5,5
73,334421,334423,334421,2,334421 + 2,,,,,,
73,334421,334427,334421,6,334421 + (2*3),,,,,,
73,334421,334429,334427,2,334427 + 2,,,,,,
74,340931,340931,334429,6502,334429 + 5659 + 829 + 7 + 5 + 2,334429 + (3251*2),334429 + (19^2) + (17^3) + (197*5) + 109 + 103 + 13 + 11 + 7,334429 + (17^3) + (19^2) + (197*5) + 109 + 103 + 13 + 11 + 7,4,3,3
74,340931,340933,340931,2,340931 + 2,,,,,,
74,340931,340937,340931,6,340931 + (2*3),,,,,,
74,340931,340939,340937,2,340937 + 2,,,,,,
75,346391,346391,340939,5452,340939 + 3469 + 1879 + 101 + 3,340939 + (2089*2) + (199*5) + (19*13) + (7*3) + 11,340939 + (19^2) + (17^3) + (13*11) + (7*5),340939 + (17^3) + (19^2) + (13*11) + (7*5),4,4,4
75,346391,346393,346391,2,346391 + 2,,,,,,
75,346391,346397,346391,6,346391 + (2*3),,,,,,
75,346391,346399,346397,2,346397 + 2,,,,,,
76,347981,347981,346399,1582,346399 + 1487 + 19 + 17 + 13 + 11 + (5*7),346399 + (199*7) + (19*3) + (13*2) + 101 + 5,346399 + (19^2) + (7^3) + (109*5) + (17*13) + 101 + 11,346399 + (11^3) + (2^7) + 101 + 17 + 5,2,2,2
76,347981,347983,347981,2,347981 + 2,,,,,,
76,347981,347987,347981,6,347981 + (2*3),,,,,,
76,347981,347989,347987,2,347987 + 2,,,,,,
77,354251,354251,347989,6262,347989 + 5659 + 199 + 197 + 193 + 7 + 5 + 2,347989 + (2089*2) + (199*7) + (193*3) + (19*5) + 17,347989 + (19^2) + (17^3) + (109*5) + (13*11) + 199 + 101,347989 + (17^3) + (19^2) + (109*5) + (13*11) + 199 + 101,4,4,4
77,354251,354253,354251,2,354251 + 2,,,,,,
77,354251,354257,354251,6,354251 + (2*3),,,,,,
77,354251,354259,354257,2,354257 + 2,,,,,,
78,358901,358901,354259,4642,354259 + 3469 + 829 + 199 + 109 + 19 + 17,354259 + (2089*2) + (109*3) + (17*7) + 13 + 5,354259 + (19^2) + (13^3) + (199*7) + (17*11) + 197 + 193 + 109 + 5,354259 + (13^3) + (2^11) + (19*5) + 199 + 103,4,4,4
78,358901,358903,358901,2,358901 + 2,,,,,,
78,358901,358907,358901,6,358901 + (2*3),,,,,,
78,358901,358909,358907,2,358907 + 2,,,,,,
79,361211,361211,358909,2302,358909 + 2089 + 199 + 7 + 5 + 2,358909 + (829*2) + (199*3) + 19 + 17 + 11,358909 + (19^2) + (11^3) + (17*13) + 193 + 191 + 5,358909 + (13^3) + (17*5) + 11 + 7 + 2,2,2,2
79,361211,361213,361211,2,361211 + 2,,,,,,
79,361211,361217,361211,6,361211 + (2*3),,,,,,
79,361211,361219,361217,2,361217 + 2,,,,,,
80,375251,375251,361219,14032,361219 + 13009 + 829 + 191 + 3,361219 + (5659*2) + (829*3) + (19*11) + 13 + 5,361219 + (109^2) + (11^3) + (103*5) + (13*7) + 197 + 17,361219 + (109^2) + (11^3) + (103*5) + (13*7) + 197 + 17,4,4,4
80,375251,375253,375251,2,375251 + 2,,,,,,
80,375251,375257,375251,6,375251 + (2*3),,,,,,
80,375251,375259,375257,2,375257 + 2,,,,,,
81,388691,388691,375259,13432,375259 + 13009 + 199 + 197 + 19 + 5 + 3,375259 + (5659*2) + (199*7) + (197*3) + 101 + 13 + 11 + 5,375259 + (109^2) + (11^3) + (19*5) + 101 + 17 + 7,375259 + (109^2) + (11^3) + (19*5) + 101 + 17 + 7,4,4,4
81,388691,388693,388691,2,388691 + 2,,,,,,
81,388691,388697,388691,6,388691 + (2*3),,,,,,
81,388691,388699,388697,2,388697 + 2,,,,,,
82,389561,389561,388699,862,388699 + 829 + 19 + 7 + 5 + 2,388699 + (199*3) + (109*2) + 19 + 17 + 11,388699 + (19^2) + (7^3) + (11*5) + 103,388699 + (19^2) + (7^3) + (11*5) + 103,4,3,2
82,389561,389563,389561,2,389561 + 2,,,,,,
82,389561,389567,389561,6,389561 + (2*3),,,,,,
82,389561,389569,389567,2,389567 + 2,,,,,,
83,392261,392261,389569,2692,389569 + 2089 + 199 + 197 + 193 + 7 + 5 + 2,389569 + (829*3) + (19*7) + (11*5) + 17,389569 + (19^2) + (13^3) + 101 + 17 + 11 + 5,389569 + (13^3) + (19^2) + 101 + 17 + 11 + 5,2,2,2
83,392261,392263,392261,2,392261 + 2,,,,,,
83,392261,392267,392261,6,392261 + (2*3),,,,,,
83,392261,392269,392267,2,392267 + 2,,,,,,
84,394811,394811,392269,2542,392269 + 2089 + 199 + 197 + 19 + (5*7) + 3,392269 + (829*3) + (19*2) + 17,392269 + (19^2) + (11^3) + (109*5) + (13*7) + 197 + 17,392269 + (13^3) + (2^7) + 193 + 19 + 5,6,5,4
84,394811,394813,394811,2,394811 + 2,,,,,,
84,394811,394817,394811,6,394811 + (2*3),,,,,,
84,394811,394819,394817,2,394817 + 2,,,,,,
85,397541,397541,394819,2722,394819 + 2089 + 199 + 197 + 193 + 19 + 17 + 5 + 3,394819 + (829*3) + (109*2) + 17,394819 + (19^2) + (13^3) + (11*5) + 109,394819 + (13^3) + (19^2) + (11*5) + 109,4,3,3
85,397541,397543,397541,2,397541 + 2,,,,,,
85,397541,397547,397541,6,397541 + (2*3),,,,,,
85,397541,397549,397547,2,397547 + 2,,,,,,
86,397751,397751,397549,202,397549 + 199 + 3,397549 + (101*2),397549 + (13^2) + (11*3),397549 + (13^2) + (11*3),2,2,2
86,397751,397753,397751,2,397751 + 2,,,,,,
86,397751,397757,397751,6,397751 + (2*3),,,,,,
86,397751,397759,397757,2,397757 + 2,,,,,,
87,402131,402131,397759,4372,397759 + 3469 + 829 + 19 + 17 + (5*7) + 3,397759 + (2089*2) + (19*7) + (13*3) + 17 + 5,397759 + (19^2) + (13^3) + (199*7) + 197 + 191 + 17 + 11 + 5,397759 + (13^3) + (2^11) + 103 + 19 + 5,4,4,4
87,402131,402133,402131,2,402131 + 2,,,,,,
87,402131,402137,402131,6,402131 + (2*3),,,,,,
87,402131,402139,402137,2,402137 + 2,,,,,,
88,402761,402761,402139,622,402139 + 199 + 197 + 193 + 19 + 7 + 5 + 2,402139 + (199*3) + (7*2) + 11,402139 + (19^2) + (5^3) + 101 + 17 + 11 + 7,402139 + (19^2) + (3^5) + 11 + 7,6,6,4
88,402761,402763,402761,2,402761 + 2,,,,,,
88,402761,402767,402761,6,402761 + (2*3),,,,,,
88,402761,402769,402767,2,402767 + 2,,,,,,
89,412031,412031,402769,9262,402769 + 5659 + 3469 + 109 + 19 + (2*3),402769 + (3469*2) + (199*11) + (19*5) + 17 + 13 + 7 + 3,402769 + (19^3) + (17^2) + (199*7) + (103*5) + 193 + 13,402769 + (2^13) + (7^3) + (103*5) + 193 + 19,6,5,4
89,412031,412033,412031,2,412031 + 2,,,,,,
89,412031,412037,412031,6,412031 + (2*3),,,,,,
89,412031,412039,412037,2,412037 + 2,,,,,,
90,419051,419051,412039,7012,412039 + 5659 + 829 + 199 + 197 + 109 + 19,412039 + (3469*2) + (19*3) + 17,412039 + (19^3) + (2^5) + 103 + 11 + 7,412039 + (19^3) + (2^5) + 103 + 11 + 7,4,4,4
90,419051,419053,419051,2,419051 + 2,,,,,,
90,419051,419057,419051,6,419051 + (2*3),,,,,,
90,419051,419059,419057,2,419057 + 2,,,,,,
91,420851,420851,419059,1792,419059 + 1489 + 199 + 101 + 3,419059 + (829*2) + (19*5) + (13*3),419059 + (19^2) + (7^3) + (197*5) + 103,419059 + (11^3) + (17^2) + (13*5) + 107,4,4,4
91,420851,420853,420851,2,420851 + 2,,,,,,
91,420851,420857,420851,6,420851 + (2*3),,,,,,
91,420851,420859,420857,2,420857 + 2,,,,,,
92,427241,427241,420859,6382,420859 + 5659 + 199 + 197 + 193 + 109 + 19 + (2*3),420859 + (2089*3) + (19*5) + 13 + 7,420859 + (19^2) + (17^3) + (197*5) + 103 + 13 + 7,420859 + (17^3) + (19^2) + (197*5) + 103 + 13 + 7,4,4,4
92,427241,427243,427241,2,427241 + 2,,,,,,
92,427241,427247,427241,6,427241 + (2*3),,,,,,
92,427241,427249,427247,2,427247 + 2,,,,,,
93,442571,442571,427249,15322,427249 + 13009 + 2089 + 199 + 19 + (2*3),427249 + (5659*2) + (829*3) + (199*7) + 107 + 17,427249 + (109^2) + (13^3) + (191*5) + (11*7) + 193 + 19,427249 + (109^2) + (13^3) + (191*5) + (11*7) + 193 + 19,4,4,4
93,442571,442573,442571,2,442571 + 2,,,,,,
93,442571,442577,442571,6,442571 + (2*3),,,,,,
93,442571,442579,442577,2,442577 + 2,,,,,,
94,444341,444341,442579,1762,442579 + 1489 + 199 + 19 + 17 + (5*7) + 3,442579 + (829*2) + (17*5) + 19,442579 + (19^2) + (7^3) + (191*5) + 103,442579 + (11^3) + (17^2) + (7*5) + 107,4,4,4
94,444341,444343,444341,2,444341 + 2,,,,,,
94,444341,444347,444341,6,444341 + (2*3),,,,,,
94,444341,444349,444347,2,444347 + 2,,,,,,
95,452531,452531,444349,8182,444349 + 5659 + 2089 + 199 + 197 + (5*7) + 3,444349 + (3469*2) + (199*5) + (19*11) + 17 + 13 + 7 + 3,444349 + (19^3) + (17^2) + (109*5) + (11*7) + 191 + 107 + 101 + 13,444349 + (19^3) + (17^2) + (109*5) + (11*7) + 191 + 107 + 101 + 13,4,4,4
95,452531,452533,452531,2,452531 + 2,,,,,,
95,452531,452537,452531,6,452531 + (2*3),,,,,,
95,452531,452539,452537,2,452537 + 2,,,,,,
96,463451,463451,452539,10912,452539 + 9439 + 829 + 199 + 197 + 193 + 19 + 17 + (2*7) + 5,452539 + (3469*3) + (199*2) + (13*7) + 11 + 5,452539 + (103^2) + (5^3) + (11*7) + 101,452539 + (103^2) + (3^5) + 19 + 17 + 13 + 11,2,2,2
96,463451,463453,463451,2,463451 + 2,,,,,,
96,463451,463457,463451,6,463451 + (2*3),,,,,,
96,463451,463459,463457,2,463457 + 2,,,,,,
97,465161,465161,463459,1702,463459 + 1489 + 199 + 7 + 5 + 2,463459 + (829*2) + (13*3) + 5,463459 + (19^2) + (7^3) + (197*5) + 13,463459 + (11^3) + (13^2) + (19*5) + 107,4,3,3
97,465161,465163,465161,2,465161 + 2,,,,,,
97,465161,465167,465161,6,465161 + (2*3),,,,,,
97,465161,465169,465167,2,465167 + 2,,,,,,
98,467471,467471,465169,2302,465169 + 2089 + 199 + 7 + 5 + 2,465169 + (829*2) + (199*3) + 19 + 17 + 11,465169 + (19^2) + (11^3) + (17*13) + 193 + 191 + 5,465169 + (13^3) + (17*5) + 11 + 7 + 2,2,2,2
98,467471,467473,467471,2,467471 + 2,,,,,,
98,467471,467477,467471,6,467471 + (2*3),,,,,,
98,467471,467479,467477,2,467477 + 2,,,,,,
99,470081,470081,467479,2602,467479 + 2089 + 199 + 197 + 109 + 5 + 3,467479 + (829*3) + (19*5) + 13 + 7,467479 + (19^2) + (11^3) + (103*7) + (13*5) + 107 + 17,467479 + (13^3) + (17^2) + 109 + 7,4,4,4
99,470081,470083,470081,2,470081 + 2,,,,,,
99,470081,470087,470081,6,470081 + (2*3),,,,,,
99,470081,470089,470087,2,470087 + 2,,,,,,
100,477011,477011,470089,6922,470089 + 5659 + 829 + 199 + 197 + (5*7) + 3,470089 + (3461*2),470089 + (19^3) + (2^5) + 13 + 11 + 7,470089 + (19^3) + (2^5) + 13 + 11 + 7,4,4,4
100,477011,477013,477011,2,477011 + 2,,,,,,
100,477011,477017,477011,6,477011 + (2*3),,,,,,
100,477011,477019,477017,2,477017 + 2,,,,,,
101,490571,490571,477019,13552,477019 + 13009 + 199 + 197 + 109 + (5*7) + 3,477019 + (5659*2) + (199*11) + (7*3) + 19 + 5,477019 + (109^2) + (11^3) + (19*5) + 107 + 101 + 17 + 13 + 7,477019 + (109^2) + (11^3) + (19*5) + 107 + 101 + 17 + 13 + 7,6,5,4
101,490571,490573,490571,2,490571 + 2,,,,,,
101,490571,490577,490571,6,490571 + (2*3),,,,,,
101,490571,490579,490577,2,490577 + 2,,,,,,
102,495611,495611,490579,5032,490579 + 3469 + 1489 + 19 + 17 + (5*7) + 3,490579 + (2089*2) + (199*3) + (19*11) + (7*5) + 13,490579 + (19^2) + (13^3) + (199*11) + (17*5) + 193 + 7,490579 + (17^3) + (19*5) + 13 + 11,4,4,4
102,495611,495613,495611,2,495611 + 2,,,,,,
102,495611,495617,495611,6,495611 + (2*3),,,,,,
102,495611,495619,495617,2,495617 + 2,,,,,,
103,500231,500231,495619,4612,495619 + 3469 + 829 + 199 + 109 + (2*3),495619 + (2089*2) + (109*3) + (13*7) + 11 + 5,495619 + (19^2) + (13^3) + (199*7) + (107*5) + 109 + 17,495619 + (13^3) + (2^11) + (19*7) + 109 + 103 + 17 + 5,4,4,4
103,500231,500233,500231,2,500231 + 2,,,,,,
103,500231,500237,500231,6,500231 + (2*3),,,,,,
103,500231,500239,500237,2,500237 + 2,,,,,,
104,510611,510611,500239,10372,500239 + 9439 + 829 + 101 + 3,500239 + (3469*2) + (829*3) + (109*7) + (13*11) + 19 + 17 + 5,500239 + (101^2) + (19*7) + (11*3) + 5,500239 + (101^2) + (19*7) + (11*3) + 5,4,4,4
104,510611,510613,510611,2,510611 + 2,,,,,,
104,510611,510617,510611,6,510611 + (2*3),,,,,,
104,510611,510619,510617,2,510617 + 2,,,,,,
105,518801,518801,510619,8182,510619 + 5659 + 2089 + 199 + 197 + (5*7) + 3,510619 + (3469*2) + (199*5) + (19*11) + 17 + 13 + 7 + 3,510619 + (19^3) + (17^2) + (109*5) + (11*7) + 191 + 107 + 101 + 13,510619 + (19^3) + (17^2) + (109*5) + (11*7) + 191 + 107 + 101 + 13,4,4,4
105,518801,518803,518801,2,518801 + 2,,,,,,
105,518801,518807,518801,6,518801 + (2*3),,,,,,
105,518801,518809,518807,2,518807 + 2,,,,,,
106,536441,536441,518809,17632,518809 + 16069 + 1489 + 19 + 17 + (5*7) + 3,518809 + (5659*3) + (199*2) + (19*11) + (7*5) + 13,518809 + (109^2) + (17^3) + (107*5) + (13*7) + 193 + 19,518809 + (7^5) + (19^2) + (109*3) + 107 + 17 + 13,4,3,3
106,536441,536443,536441,2,536441 + 2,,,,,,
106,536441,536447,536441,6,536441 + (2*3),,,,,,
106,536441,536449,536447,2,536447 + 2,,,,,,
107,536771,536771,536449,322,536449 + 199 + 109 + 7 + 5 + 2,536449 + (109*2) + (17*5) + 19,536449 + (17^2) + (11*3),536449 + (17^2) + (11*3),4,3,3
107,536771,536773,536771,2,536771 + 2,,,,,,
107,536771,536777,536771,6,536771 + (2*3),,,,,,
107,536771,536779,536777,2,536777 + 2,,,,,,
108,539501,539501,536779,2722,536779 + 2089 + 199 + 197 + 193 + 19 + 17 + 5 + 3,536779 + (829*3) + (109*2) + 17,536779 + (19^2) + (13^3) + (11*5) + 109,536779 + (13^3) + (19^2) + (11*5) + 109,4,3,3
108,539501,539503,539501,2,539501 + 2,,,,,,
108,539501,539507,539501,6,539501 + (2*3),,,,,,
108,539501,539509,539507,2,539507 + 2,,,,,,
109,549161,549161,539509,9652,539509 + 9439 + 199 + 7 + 5 + 2,539509 + (3469*2) + (829*3) + (19*11) + 13 + 5,539509 + (19^3) + (17^2) + (199*11) + 193 + 109 + 13,539509 + (2^13) + (11^3) + 107 + 17 + 5,4,3,3
109,549161,549163,549161,2,549161 + 2,,,,,,
109,549161,549167,549161,6,549161 + (2*3),,,,,,
109,549161,549169,549167,2,549167 + 2,,,,,,
110,559211,559211,549169,10042,549169 + 9439 + 199 + 197 + 193 + 7 + 5 + 2,549169 + (3469*2) + (829*3) + (103*5) + (13*7) + 11,549169 + (19^3) + (17^2) + (199*13) + 197 + 103 + 7,549169 + (2^13) + (11^3) + (19*17) + 191 + 5,4,4,4
110,559211,559213,559211,2,559211 + 2,,,,,,
110,559211,559217,559211,6,559211 + (2*3),,,,,,
110,559211,559219,559217,2,559217 + 2,,,,,,
111,563411,563411,559219,4192,559219 + 3469 + 199 + 197 + 193 + 109 + 19 + (2*3),559219 + (2089*2) + 11 + 3,559219 + (19^2) + (13^3) + (199*7) + 107 + 101 + 17 + 11 + 5,559219 + (13^3) + (19^2) + (199*7) + 107 + 101 + 17 + 11 + 5,4,4,3
111,563411,563413,563411,2,563411 + 2,,,,,,
111,563411,563417,563411,6,563411 + (2*3),,,,,,
111,563411,563419,563417,2,563417 + 2,,,,,,
112,570041,570041,563419,6622,563419 + 5659 + 829 + 109 + 19 + (2*3),563419 + (3259*2) + (17*5) + 19,563419 + (19^2) + (17^3) + (199*5) + (13*11) + 109 + 101,563419 + (17^3) + (19^2) + (199*5) + (13*11) + 109 + 101,4,4,4
112,570041,570043,570041,2,570041 + 2,,,,,,
112,570041,570047,570041,6,570041 + (2*3),,,,,,
112,570041,570049,570047,2,570047 + 2,,,,,,
113,572651,572651,570049,2602,570049 + 2089 + 199 + 197 + 109 + 5 + 3,570049 + (829*3) + (19*5) + 13 + 7,570049 + (19^2) + (11^3) + (103*7) + (13*5) + 107 + 17,570049 + (13^3) + (17^2) + 109 + 7,4,4,4
113,572651,572653,572651,2,572651 + 2,,,,,,
113,572651,572657,572651,6,572651 + (2*3),,,,,,
113,572651,572659,572657,2,572657 + 2,,,,,,
114,585911,585911,572659,13252,572659 + 13009 + 199 + 19 + 17 + 5 + 3,572659 + (5659*2) + (199*7) + (109*3) + (19*11) + 5,572659 + (109^2) + (7^3) + (197*5) + 19 + 13 + 11,572659 + (109^2) + (7^3) + (197*5) + 19 + 13 + 11,6,5,4
114,585911,585913,585911,2,585911 + 2,,,,,,
114,585911,585917,585911,6,585911 + (2*3),,,,,,
114,585911,585919,585917,2,585917 + 2,,,,,,
115,594821,594821,585919,8902,585919 + 5659 + 2089 + 829 + 199 + 109 + 17,585919 + (3469*2) + (199*7) + (109*3) + (19*11) + 17 + 13 + 5,585919 + (19^3) + (17^2) + (199*7) + (13*5) + 193 + 103,585919 + (2^13) + (3^5) + (19*7) + 199 + 107 + 17 + 11,2,2,2
115,594821,594823,594821,2,594821 + 2,,,,,,
115,594821,594827,594821,6,594821 + (2*3),,,,,,
115,594821,594829,594827,2,594827 + 2,,,,,,
116,597671,597671,594829,2842,594829 + 2089 + 199 + 197 + 193 + 109 + 19 + 17 + (2*7) + 5,594829 + (829*3) + (109*2) + (17*7) + 13 + 5,594829 + (19^2) + (13^3) + (17*5) + 199,594829 + (13^3) + (19^2) + (17*5) + 199,6,5,4
116,597671,597673,597671,2,597671 + 2,,,,,,
116,597671,597677,597671,6,597671 + (2*3),,,,,,
116,597671,597679,597677,2,597677 + 2,,,,,,
117,607301,607301,597679,9622,597679 + 9439 + 109 + 19 + 17 + (5*7) + 3,597679 + (3469*2) + (829*3) + (19*5) + (13*7) + 11,597679 + (19^3) + (17^2) + (199*7) + (193*5) + 103 + 13,597679 + (2^13) + (7^3) + (193*5) + 103 + 19,2,2,2
117,607301,607303,607301,2,607301 + 2,,,,,,
117,607301,607307,607301,6,607301 + (2*3),,,,,,
117,607301,607309,607307,2,607307 + 2,,,,,,
118,622241,622241,607309,14932,607309 + 13009 + 1879 + 19 + 17 + 5 + 3,607309 + (5659*2) + (829*3) + (199*5) + (17*7) + 13,607309 + (109^2) + (13^3) + (107*5) + (19*11) + 103 + 7,607309 + (109^2) + (13^3) + (107*5) + (19*11) + 103 + 7,6,5,4
118,622241,622243,622241,2,622241 + 2,,,,,,
118,622241,622247,622241,6,622241 + (2*3),,,,,,
118,622241,622249,622247,2,622247 + 2,,,,,,
119,626621,626621,622249,4372,622249 + 3469 + 829 + 19 + 17 + (5*7) + 3,622249 + (2089*2) + (19*7) + (13*3) + 17 + 5,622249 + (19^2) + (13^3) + (199*7) + 197 + 191 + 17 + 11 + 5,622249 + (13^3) + (2^11) + 103 + 19 + 5,4,4,4
119,626621,626623,626621,2,626621 + 2,,,,,,
119,626621,626627,626621,6,626621 + (2*3),,,,,,
119,626621,626629,626627,2,626627 + 2,,,,,,
120,632081,632081,626629,5452,626629 + 3469 + 1879 + 101 + 3,626629 + (2089*2) + (199*5) + (19*13) + (7*3) + 11,626629 + (19^2) + (17^3) + (13*11) + (7*5),626629 + (17^3) + (19^2) + (13*11) + (7*5),4,4,4
120,632081,632083,632081,2,632081 + 2,,,,,,
120,632081,632087,632081,6,632081 + (2*3),,,,,,
120,632081,632089,632087,2,632087 + 2,,,,,,
121,632321,632321,632089,232,632089 + 199 + 19 + 7 + 5 + 2,632089 + (109*2) + 11 + 3,632089 + (13^2) + (17*3) + 7 + 5,632089 + (13^2) + (17*3) + 7 + 5,4,3,2
121,632321,632323,632321,2,632321 + 2,,,,,,
121,632321,632327,632321,6,632321 + (2*3),,,,,,
121,632321,632329,632327,2,632327 + 2,,,,,,
122,633461,633461,632329,1132,632329 + 829 + 199 + 101 + 3,632329 + (199*5) + (17*7) + 13 + 3 + 2,632329 + (19^2) + (7^3) + (17*13) + 191 + 11 + 5,632329 + (19^2) + (7^3) + (17*13) + 191 + 11 + 5,4,4,4
122,633461,633463,633461,2,633461 + 2,,,,,,
122,633461,633467,633461,6,633461 + (2*3),,,,,,
122,633461,633469,633467,2,633467 + 2,,,,,,
123,633791,633791,633469,322,633469 + 199 + 109 + 7 + 5 + 2,633469 + (109*2) + (17*5) + 19,633469 + (17^2) + (11*3),633469 + (17^2) + (11*3),4,3,3
123,633791,633793,633791,2,633791 + 2,,,,,,
123,633791,633797,633791,6,633791 + (2*3),,,,,,
123,633791,633799,633797,2,633797 + 2,,,,,,
124,654161,654161,633799,20362,633799 + 19429 + 829 + 101 + 3,633799 + (9439*2) + (199*7) + (13*3) + 19 + 17 + 11 + 5,633799 + (109^2) + (19^3) + (199*5) + (17*13) + 197 + 191 + 11 + 7,633799 + (7^5) + (13^3) + (19^2) + (17*11) + 199 + 191 + 109 + 107 + 103 + 101,4,4,4
124,654161,654163,654161,2,654161 + 2,,,,,,
124,654161,654167,654161,6,654161 + (2*3),,,,,,
124,654161,654169,654167,2,654167 + 2,,,,,,
125,657491,657491,654169,3322,654169 + 3259 + 19 + 17 + 13 + 7 + 5 + 2,654169 + (1489*2) + (109*3) + 17,654169 + (19^2) + (13^3) + (109*5) + 191 + 17 + 11,654169 + (13^3) + (19^2) + (109*5) + 191 + 17 + 11,4,4,4
125,657491,657493,657491,2,657491 + 2,,,,,,
125,657491,657497,657491,6,657491 + (2*3),,,,,,
125,657491,657499,657497,2,657497 + 2,,,,,,
126,661091,661091,657499,3592,657499 + 3469 + 109 + 7 + 5 + 2,657499 + (1489*2) + (199*3) + 17,657499 + (19^2) + (13^3) + (109*7) + (11*5) + 199 + 17,657499 + (13^3) + (19^2) + (109*7) + (11*5) + 199 + 17,4,3,3
126,661091,661093,661091,2,661091 + 2,,,,,,
126,661091,661097,661091,6,661091 + (2*3),,,,,,
126,661091,661099,661097,2,661097 + 2,,,,,,
127,663581,663581,661099,2482,661099 + 2089 + 199 + 191 + 3,661099 + (829*2) + (199*3) + (19*11) + 13 + 5,661099 + (19^2) + (11^3) + (109*5) + 107 + 101 + 17 + 13 + 7,661099 + (13^3) + (7^2) + 109 + 103 + 19 + 5,4,4,4
127,663581,663583,663581,2,663581 + 2,,,,,,
127,663581,663587,663581,6,663581 + (2*3),,,,,,
127,663581,663589,663587,2,663587 + 2,,,,,,
128,664661,664661,663589,1072,663589 + 829 + 199 + 19 + 17 + 5 + 3,663589 + (199*5) + (19*3) + 13 + 7,663589 + (19^2) + (7^3) + (13*11) + 107 + 101 + 17,663589 + (19^2) + (7^3) + (13*11) + 107 + 101 + 17,6,5,4
128,664661,664663,664661,2,664661 + 2,,,,,,
128,664661,664667,664661,6,664661 + (2*3),,,,,,
128,664661,664669,664667,2,664667 + 2,,,,,,
129,666431,666431,664669,1762,664669 + 1489 + 199 + 19 + 17 + (5*7) + 3,664669 + (829*2) + (17*5) + 19,664669 + (19^2) + (7^3) + (191*5) + 103,664669 + (11^3) + (17^2) + (7*5) + 107,4,4,4
129,666431,666433,666431,2,666431 + 2,,,,,,
129,666431,666437,666431,6,666431 + (2*3),,,,,,
129,666431,666439,666437,2,666437 + 2,,,,,,
130,680291,680291,666439,13852,666439 + 13009 + 829 + 7 + 5 + 2,666439 + (5659*2) + (829*3) + 19 + 17 + 11,666439 + (109^2) + (11^3) + (103*5) + 101 + 17 + 7,666439 + (109^2) + (11^3) + (103*5) + 101 + 17 + 7,4,3,3
130,680291,680293,680291,2,680291 + 2,,,,,,
130,680291,680297,680291,6,680291 + (2*3),,,,,,
130,680291,680299,680297,2,680297 + 2,,,,,,
